https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1728604800000,2024-10-11,XRPEUR,0.485,0.4954,0.4843,0.4921,1397883.0,686835.8709,3293
1728518400000,2024-10-10,XRPEUR,0.4795,0.497,0.478,0.4849,2270519.0,1104485.1722,4513
1728432000000,2024-10-09,XRPEUR,0.4843,0.4879,0.4766,0.4792,1451976.0,702122.5356,3077
1728345600000,2024-10-08,XRPEUR,0.4819,0.4879,0.4756,0.4837,1580742.0,762625.8409,3210
1728259200000,2024-10-07,XRPEUR,0.4862,0.497,0.4819,0.4819,2140668.0,1052414.256,4353
1728172800000,2024-10-06,XRPEUR,0.4828,0.4894,0.4814,0.4863,1067256.0,518044.8981,2485
1728086400000,2024-10-05,XRPEUR,0.4869,0.488,0.4799,0.4827,880162.0,426213.8933,2296
1728000000000,2024-10-04,XRPEUR,0.4732,0.4914,0.467,0.4871,3026022.0,1447634.6778,5582
1727913600000,2024-10-03,XRPEUR,0.4874,0.4931,0.4597,0.4732,4490482.0,2137024.8694,8415
1727827200000,2024-10-02,XRPEUR,0.5396,0.5479,0.4775,0.4877,6723954.0,3487237.7016,9373
1727740800000,2024-10-01,XRPEUR,0.5494,0.5723,0.5235,0.54,5261272.0,2896018.8169,8901
1727654400000,2024-09-30,XRPEUR,0.5747,0.5854,0.547,0.5498,3341602.0,1901350.5177,6103
1727568000000,2024-09-29,XRPEUR,0.5501,0.5955,0.545,0.5756,3749026.0,2146368.4518,6043
1727481600000,2024-09-28,XRPEUR,0.5278,0.5608,0.525,0.5507,5121783.0,2812169.4724,7203
1727395200000,2024-09-27,XRPEUR,0.5284,0.5337,0.5217,0.5277,1947153.0,1028274.8702,3586
1727308800000,2024-09-26,XRPEUR,0.5242,0.5337,0.5159,0.5285,1850284.0,976572.5542,3098
1727222400000,2024-09-25,XRPEUR,0.5283,0.5322,0.5233,0.5243,1103252.0,581068.6797,2377
1727136000000,2024-09-24,XRPEUR,0.5269,0.5311,0.5215,0.5288,1200166.0,632558.3282,2628
1727049600000,2024-09-23,XRPEUR,0.5268,0.5334,0.5191,0.5266,1491317.0,787558.7304,3041
1726963200000,2024-09-22,XRPEUR,0.5356,0.5424,0.5184,0.5267,1059137.0,562090.3874,2159
1726876800000,2024-09-21,XRPEUR,0.5239,0.549,0.5198,0.536,1722345.0,924249.1852,2875
1726790400000,2024-09-20,XRPEUR,0.5257,0.531,0.5169,0.5236,1245922.0,652788.0824,2845
1726704000000,2024-09-19,XRPEUR,0.5267,0.5329,0.5209,0.5261,1507683.0,795053.2831,3236
1726617600000,2024-09-18,XRPEUR,0.5251,0.527,0.5064,0.5267,1502631.0,775069.4474,3065
1726531200000,2024-09-17,XRPEUR,0.5265,0.5333,0.5203,0.5255,1577387.0,832674.318,2976
1726444800000,2024-09-16,XRPEUR,0.515,0.5312,0.5053,0.5269,3007648.0,1551153.7222,3846
1726358400000,2024-09-15,XRPEUR,0.5374,0.5377,0.5132,0.5155,1533399.0,804653.5848,2822
1726272000000,2024-09-14,XRPEUR,0.5172,0.5406,0.5152,0.5378,3532902.0,1871133.2145,5136
1726185600000,2024-09-13,XRPEUR,0.508,0.5185,0.5015,0.5172,2462365.0,1260968.0787,5719
